,location,carpet_area,status,transaction,urnishing,society,bathroom,amount
1389,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",1019 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom3,₹1.21 Cr 
1390,2 BHK Apartment for Sale in Kharadi Pune,737 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,,Bathroom2,₹89 Lac 
1391,"3 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",1009 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyUnique Youtopia,Bathroom3,₹1.18 Cr 
1392," Studio Apartment for Sale in EON Free Zone, Kharadi Pune",250 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,,Bathroom1,₹30 Lac 
1393,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Gaon, Kharadi Pune",1515 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.50 Cr 
1394,"3 BHK Apartment for Sale in Gera Trinity Towers, EON Free Zone, Kharadi Pune",1950 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera Trinity Towers,Bathroom3,₹2.50 Cr 
1395,4 BHK Apartment for Sale in Kharadi Pune,1600 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,,Bathroom4,₹1.86 Cr 
1396,"2 BHK Apartment for Sale in Majestique Towers, Ubale Nagar Pune",808 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Towers,Bathroom2,₹99 Lac 
1397,"2 BHK Apartment for Sale in Riverdale Heights, Thite Nagar, Kharadi Pune",769 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyRiverdale Heights,Bathroom2,₹91 Lac 
1398,"3 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",1066 sqft,Under ConstructionPoss. by Jan '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom3,₹1.32 Cr 
1399,"2 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",826 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom2,₹1.04 Cr 
1400,"2 BHK Apartment for Sale in Vertillas, EON Free Zone, Kharadi Pune",1070 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingUnfurnished,SocietyVertillas,Bathroom2,₹1.30 Cr 
1401,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1100 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.70 Cr 
1402,"2 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",838 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom2,₹1.20 Cr 
1403,3 BHK Apartment for Sale in Ubale Nagar Pune,1050 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,,Bathroom3,Call for Price
1404,"3 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",1084 sqft,Under ConstructionPoss. by Dec '28,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grand,Bathroom2,₹1.40 Cr 
1405,2 BHK Apartment for Sale in Kharadi Pune,800 sqft,Under ConstructionPoss. by Mar '27,TransactionNew Property,FurnishingUnfurnished,,Bathroom2,₹88 Lac 
1406,"3 BHK Apartment for Sale in Ganga Platinum, Kharadi Pune",1430 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyGanga Platinum,Bathroom3,₹1.92 Cr 
1407,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",746 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹78 Lac 
1408,"4 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1600 sqft,Under ConstructionPoss. by Mar '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom4,₹2.24 Cr 
1409,3 BHK Apartment for Sale in Kharadi Pune,870 sqft,Under ConstructionPoss. by Jun '25,TransactionNew Property,FurnishingUnfurnished,,Bathroom3,₹75 Lac 
1410,"3 BHK Apartment for Sale in VTP Euphoria, Kharadi Pune",1228 sqft,Under ConstructionPoss. by Jun '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Euphoria,Bathroom3,₹1.10 Cr 
1411,"2 BHK Apartment for Sale in Riverdale Heights, Kharadi Pune",707 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyRiverdale Heights,Bathroom2,₹69.5 Lac 
1412,"3 BHK Apartment for Sale in Vilas Javdekar, Kharadi Pune",889 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyVilas Javdekar,Bathroom3,₹85 Lac 
1413,"3 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",1172 sqft,Under ConstructionPoss. by Mar '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyRiverdale Grand,Bathroom3,₹1.25 Cr 
1414,"2 BHK Apartment for Sale in Majestique Marbella, Choudhari Wasti Pune",828 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom2,₹92 Lac 
1415,"3 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",1190 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom3,₹1.32 Cr 
1416,4 BHK Apartment for Sale in Kharadi Pune,1850 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingSemi-Furnished,,Bathroom5,₹2.90 Cr 
1417,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Gaon, Kharadi Pune",1100 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyPristine Allure,Bathroom3,₹1.05 Cr 
1418,"3 BHK Apartment for Sale in VTP Euphoria, Kharadi Pune",1160 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Euphoria,Bathroom3,₹1.10 Cr 
1419,"5 BHK Apartment for Sale in The Strand, EON Free Zone, Kharadi Pune",2453 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyThe Strand,Bathroom5,₹3.21 Cr 
1420,"3 BHK Apartment for Sale in Ganga Altus, Kharadi Pune",898 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyGanga Altus,Bathroom2,₹91 Lac 
1421,3 BHK Apartment for Sale in Kharadi Pune,1108 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,,Bathroom3,₹1.53 Cr 
1422,"3 BHK Apartment for Sale in Ganga Altus, Kharadi Pune",894 sqft,Under ConstructionPoss. by Sep '24,TransactionNew Property,FurnishingUnfurnished,SocietyGanga Altus,Bathroom2,₹94.1 Lac 
1423,"3 BHK Apartment for Sale in Ganga Platinum, Kharadi Pune",1449 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyGanga Platinum,Bathroom3,₹2.27 Cr 
1424,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",984 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹1.04 Cr 
1425,"2 BHK Apartment for Sale in Zen Estate, Tulaja Bhawani Nagar, Kharadi Pune",740 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyZen Estate,Bathroom2,₹92 Lac 
