,location,carpet_area,status,transaction,urnishing,society,bathroom,amount
802,"2 BHK Apartment for Sale in Riverdale Grove, Kharadi Pune",652 sqft,Under ConstructionPoss. by Jun '26,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹90 Lac 
803,"4 BHK Apartment for Sale in The Strand, Kharadi Pune",2909 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyThe Strand,Bathroom4,₹3.50 Cr 
804,"3 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",1090 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom3,₹1.49 Cr 
805,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",751 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom3,₹86.2 Lac 
806,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1197 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.75 Cr 
807,"3 BHK Apartment for Sale in Majestique Marbella, EON Free Zone, Kharadi Pune",1064 sqyrd,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom3,₹1.25 Cr 
808,"2 BHK Apartment for Sale in Kohinoor Kaleido, Ubale Nagar Pune",696 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyKohinoor Kaleido,Bathroom2,₹72 Lac 
809,"3 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",1660 sqft,Under ConstructionPoss. by Jun '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom3,₹1.36 Cr 
810,"3 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",1967 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom3,₹1.35 Cr 
811,"2 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",850 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom2,₹92 Lac 
812,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",1016 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom3,₹1.05 Cr 
813,"3 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",1245 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom3,₹1.36 Cr 
814,"4 BHK Penthouse for Sale in Marvel Zephyr, Kharadi Pune",8250 sqft,StatusReady to Move,TransactionNew Property,FurnishingFurnished,SocietyMarvel Zephyr,Bathroom4,₹8.25 Cr 
815,"4 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",1793 sqft,Under ConstructionPoss. by Jan '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom4,₹2.20 Cr 
816,"3 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",1190 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyRiverdale Grand,Bathroom3,₹1.32 Cr 
817,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1070 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.35 Cr 
818,"3 BHK Apartment for Sale in Unique Youtopia, EON Free Zone, Kharadi Pune",1000 sqft,Under ConstructionPoss. by Jun '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyUnique Youtopia,Bathroom3,₹1.21 Cr 
819,"2 BHK Apartment for Sale in Acolade, Kharadi Pune",940 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyAcolade,Bathroom2,₹98 Lac 
820,"3 BHK Apartment for Sale in The Strand, EON Free Zone, Kharadi Pune",1336 sqft,Under ConstructionPoss. by Jun '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyThe Strand,Bathroom3,₹1.69 Cr 
821,"4 BHK Apartment for Sale in Eon Waterfront, EON Free Zone, Kharadi Pune",2200 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyEon Waterfront,Bathroom4,₹3.30 Cr 
822,"3 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",1086 sqft,Under ConstructionPoss. by Jun '26,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom3,₹1.15 Cr 
823,3 BHK Apartment for Sale in Kharadi Pune,1131 sqft,Under ConstructionPoss. by Jun '26,TransactionNew Property,FurnishingUnfurnished,,Bathroom3,₹1.26 Cr 
824,"3 BHK Apartment for Sale in Gera Planet Of Joy, Kharadi Pune",1244 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyGera Planet Of Joy,Bathroom3,₹1.47 Cr 
825,"2 BHK Apartment for Sale in Kolte Downtown Beryl, Kharadi Pune",900 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyKolte Downtown Beryl,Bathroom2,₹89 Lac 
826,"4 BHK Apartment for Sale in Pittie Kourtyard, Kharadi Gaon, Kharadi Pune",1995 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyPittie Kourtyard,Bathroom3,₹1.95 Cr 
827,"2 BHK Apartment for Sale in Riverdale Heights, Thite Nagar, Kharadi Pune",768 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyRiverdale Heights,Bathroom2,₹90 Lac 
828,"3 BHK Apartment for Sale in Forest County, EON Free Zone, Kharadi Pune",1560 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyForest County,Bathroom3,₹2.65 Cr 
829,"3 BHK Apartment for Sale in EON Free Zone, Kharadi Pune",1519 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingSemi-Furnished,,Bathroom4,₹2.35 Cr 
830,"2 BHK Apartment for Sale in Majestique Towers, Ubale Nagar Pune",808 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Towers,Bathroom2,₹1.03 Cr 
831,"3 BHK Apartment for Sale in Yashwin Orizzonte, Vitthal Nagar Kharadi Pune",955 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyYashwin Orizzonte,Bathroom2,₹1.23 Cr 
832,"2 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",848 sqft,Under ConstructionPoss. by Jan '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹96.5 Lac 
833,"3 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",1089 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom3,₹1.44 Cr 
834,"3 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",1100 sqft,Under ConstructionPoss. by Sep '26,TransactionNew Property,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom2,₹1.30 Cr 
835,"3 BHK Apartment for Sale in Pristine Allure, EON Free Zone, Kharadi Pune",1016 sqft,Under ConstructionPoss. by Jun '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom3,₹1.20 Cr 
836,"2 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",800 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹88 Lac 
837,"3 BHK Apartment for Sale in Gera World of Joy, EON Free Zone, Kharadi Pune",1244 sqft,Under ConstructionPoss. by Oct '25,TransactionNew Property,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom3,₹1.75 Cr 
838,2 BHK Apartment for Sale in Ubale Nagar Pune,726 sqft,Under ConstructionPoss. by Aug '26,TransactionNew Property,FurnishingUnfurnished,,Bathroom2,₹1 Cr 
839,"2 BHK Apartment for Sale in Riverdale Grove, Kharadi Pune",737 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹95 Lac 
840,4 BHK Apartment for Sale in Kharadi Pune,1619 sqft,Under ConstructionPoss. by Apr '26,TransactionNew Property,FurnishingUnfurnished,,Bathroom3,₹2.75 Cr 
841,"3 BHK Apartment for Sale in Zen Elite, Kharadi Pune",1120 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyZen Elite,Bathroom3,₹1.32 Cr 
842,"3 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",1080 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom3,₹1.20 Cr 
843,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1100 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.34 Cr 
844,"3 BHK Apartment for Sale in EON Free Zone, Kharadi Pune",1131 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,,Bathroom3,₹1.23 Cr 
845,"3 BHK Apartment for Sale in Unique Youtopia, Rakshak Nagar, Kharadi Pune",1008 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom3,₹1.15 Cr 
846,"3 BHK Apartment for Sale in Majestique Towers, Ubale Nagar Pune",1100 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Towers,Bathroom3,₹1.19 Cr 
847,"3 BHK Apartment for Sale in Zen Elite, EON Free Zone, Kharadi Pune",1150 sqm,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyZen Elite,Bathroom2,₹1.15 Cr 
848,"2 BHK Apartment for Sale in Unique Youtopia, Kharadi Gaon, Kharadi Pune",769 sqft,Under ConstructionPoss. by Jun '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyUnique Youtopia,Bathroom2,₹88.5 Lac 
849,"2 BHK Apartment for Sale in Riverdale Grove, Kharadi Pune",793 sqft,Under ConstructionPoss. by Mar '24,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹74.1 Lac 
850,"2 BHK Apartment for Sale in Kohinoor Kaleido, Ubale Nagar Pune",940 sqft,Under ConstructionPoss. by Mar '27,TransactionNew Property,FurnishingUnfurnished,SocietyKohinoor Kaleido,Bathroom2,₹74 Lac 
851,"2 BHK Apartment for Sale in Geras Island of Joy, Ubale Nagar Pune",1117 sqft,Under ConstructionPoss. by Mar '27,TransactionNew Property,FurnishingSemi-Furnished,SocietyGeras Island of Joy,Bathroom2,₹95.4 Lac 
852,"3 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, EON Free Zone, Kharadi Pune",1142 sqft,Under ConstructionPoss. by Feb '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom3,₹1.33 Cr 
853,3 BHK Apartment for Sale in Kharadi Pune,1650 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingSemi-Furnished,,Bathroom4,₹2.50 Cr 
854,"3 BHK Apartment for Sale in VTP Township Codename Pegasus, EON Free Zone, Kharadi Pune",1270 sqft,Under ConstructionPoss. by Oct '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Township Codename Pegasus,Bathroom3,₹1.33 Cr 
855,"4 BHK Apartment for Sale in VTP Euphoria, Kharadi Pune",1820 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyVTP Euphoria,Bathroom4,₹1.89 Cr 
856,"3 BHK Apartment for Sale in Riverdale Grand, EON Free Zone, Kharadi Pune",1084 sqft,Under ConstructionPoss. by Mar '27,TransactionNew Property,FurnishingSemi-Furnished,SocietyRiverdale Grand,Bathroom2,₹1.35 Cr 
857,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",985 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom3,₹1.03 Cr 
858,"3 BHK Apartment for Sale in Riverdale Grove, EON Free Zone, Kharadi Pune",1417 sqft,Under ConstructionPoss. by Mar '27,TransactionNew Property,FurnishingSemi-Furnished,SocietyRiverdale Grove,Bathroom3,₹1.85 Cr 
859,"2 BHK Apartment for Sale in VTP Township Codename Pegasus, Kharadi Pune",620 sqft,Under ConstructionPoss. by Jul '24,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Township Codename Pegasus,Bathroom2,₹70.3 Lac 
860,"1 BHK Apartment for Sale in Gera Planet Of Joy, Kharadi Pune",1065 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyGera Planet Of Joy,Bathroom1,₹1.74 Cr 
861,"2 BHK Apartment for Sale in Vilas Javdekar, Kharadi Pune",713 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyVilas Javdekar,Bathroom2,₹67.1 Lac 
862,"3 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",1080 sqft,Under ConstructionPoss. by Mar '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom3,₹1.25 Cr 
863,"4 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",1793 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom4,₹1.93 Cr 
864,"2 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",981 sqft,Under ConstructionPoss. by Sep '26,TransactionNew Property,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom3,₹1.19 Cr 
865,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",760 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹84.6 Lac 
866,"2 BHK Apartment for Sale in Yashwin Orizzonte, EON Free Zone, Kharadi Pune",725 sqft,StatusReady to Move,TransactionNew Property,FurnishingFurnished,SocietyYashwin Orizzonte,Bathroom2,₹98 Lac 
867,"2 BHK Apartment for Sale in Majestique Towers, Ubale Nagar Pune",828 sqft,Under ConstructionPoss. by Apr '24,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Towers,Bathroom2,₹92 Lac 
868,"3 BHK Apartment for Sale in VTP Euphoria, Kharadi Pune",1240 sqft,Under ConstructionPoss. by Aug '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Euphoria,Bathroom3,₹1.40 Cr 
869,"3 BHK Apartment for Sale in Ganga Serio, Kharadi Pune",1093 sqft,Under ConstructionPoss. by Feb '24,TransactionNew Property,FurnishingUnfurnished,SocietyGanga Serio,Bathroom3,₹1.30 Cr 
870,"4 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",1696 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom4,₹1.95 Cr 
871,"3 BHK Apartment for Sale in Precioso, Kharadi Pune",1800 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPrecioso,Bathroom3,₹2.10 Cr 
872,"4 BHK Apartment for Sale in Gera GreensVille SkyVillas, Vitthal Nagar Kharadi Pune",2300 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera GreensVille SkyVillas,Bathroom3,₹2.75 Cr 
873,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",777 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹85 Lac 
874,"3 BHK Apartment for Sale in Riverdale Grand, EON Free Zone, Kharadi Pune",1190 sqft,Under ConstructionPoss. by Mar '26,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grand,Bathroom3,₹1.65 Cr 
875,"3 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",1417 sqft,Under ConstructionPoss. by Mar '27,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grand,Bathroom3,₹1.99 Cr 
876,"4 BHK Apartment for Sale in Ganga Platinum, Kharadi Pune",1923 sqft,Under ConstructionPoss. by Jun '26,TransactionNew Property,FurnishingUnfurnished,SocietyGanga Platinum,Bathroom4,₹3.75 Cr 
877,"4 BHK Apartment for Sale in Marvel Zephyr, Vitthal Nagar Kharadi Pune",3049 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyMarvel Zephyr,Bathroom3,₹3.99 Cr 
878,"3 BHK Apartment for Sale in Velstand Phase 2, Kharadi Pune",1300 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyVelstand Phase 2,Bathroom3,₹1.60 Cr 
879,"2 BHK Apartment for Sale in Gera Park View, Kharadi Pune",1250 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera Park View,Bathroom2,₹1.25 Cr 
880,"3 BHK Apartment for Sale in VTP Township Codename Pegasus, Kharadi Gaon, Kharadi Pune",885 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Township Codename Pegasus,Bathroom3,₹85 Lac 
881,"2 BHK Apartment for Sale in Zen Elite, Kharadi Pune",838 sqm,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyZen Elite,Bathroom2,₹94.5 Lac 
882,"2 BHK Apartment for Sale in VTP Township Codename Pegasus, EON Free Zone, Kharadi Pune",749 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyVTP Township Codename Pegasus,Bathroom2,₹64 Lac 
883,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",760 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹75.5 Lac 
884,"3 BHK Apartment for Sale in VTP Euphoria, Kharadi Pune",1146 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Euphoria,Bathroom3,₹1.11 Cr 
885,"2 BHK Apartment for Sale in Riverdale Grove, Kharadi Gaon, Kharadi Pune",800 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹75 Lac 
886,"2 BHK Apartment for Sale in Gera World of Joy, Ubale Nagar Pune",813 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom2,₹90 Lac 
887,2 BHK Apartment for Sale in Kharadi Pune,646 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,,Bathroom2,₹62.9 Lac 
888,"3 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",938 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom2,₹95.4 Lac 
889,"2 BHK Apartment for Sale in Ganga Serio, Kharadi Pune",978 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyGanga Serio,Bathroom2,₹1.12 Cr 
890,"3 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",1245 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingSemi-Furnished,SocietyVTP Dolce Vita,Bathroom3,₹1.45 Cr 
891,"2 BHK Apartment for Sale in Zen Elite, Kharadi Pune",838 sqft,Under ConstructionPoss. by Jun '25,TransactionNew Property,FurnishingUnfurnished,SocietyZen Elite,Bathroom2,₹89 Lac 
892,"2 BHK Apartment for Sale in Kolte Patil Langston Tuscan, EON Free Zone, Kharadi Pune",950 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyKolte Patil Langston Tuscan,Bathroom2,₹1.08 Cr 
893,"2 BHK Apartment for Sale in Unique Youtopia, Thite Nagar, Kharadi Pune",762 sqft,Under ConstructionPoss. by Sep '25,TransactionNew Property,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom2,₹92.5 Lac 
894,"3 BHK Apartment for Sale in Gera World of Joy, EON Free Zone, Kharadi Pune",1053 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom2,₹1.60 Cr 
895,"4 BHK Apartment for Sale in Eon Waterfront, Kharadi Pune",4088 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyEon Waterfront,Bathroom5,₹4.50 Cr 
896,"3 BHK Apartment for Sale in Zen Estate, Kharadi Pune",1065 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyZen Estate,Bathroom3,₹1.35 Cr 
897,"1 BHK Apartment for Sale in Project Rakshak Nagar, Kharadi Pune",500 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyProject Rakshak Nagar,Bathroom1,₹45 Lac 
898,"2 BHK Apartment for Sale in Majestique Marbella, EON Free Zone, Kharadi Pune",824 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyMajestique Marbella,Bathroom2,₹89 Lac 
899,"2 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, EON Free Zone, Kharadi Pune",762 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹79 Lac 
900,"2 BHK Apartment for Sale in Riverdale Grove, Kharadi Pune",792 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹89 Lac 
901,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",760 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹77.6 Lac 
902,"4 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",3800 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyMarvel Zephyr,Bathroom5,₹3.50 Cr 
903,"3 BHK Apartment for Sale in Marvel Zephyr, EON Free Zone, Kharadi Pune",1750 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMarvel Zephyr,Bathroom4,₹2.55 Cr 
904,"2 BHK Apartment for Sale in Zen Estate, EON Free Zone, Kharadi Pune",750 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyZen Estate,Bathroom2,₹86 Lac 
905,"3 BHK Apartment for Sale in Marvel Zephyr, EON Free Zone, Kharadi Pune",1900 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMarvel Zephyr,Bathroom5,₹2.45 Cr 
906,"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",2200 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPanchshil Towers,Bathroom5,₹3.35 Cr 
907,"3 BHK Apartment for Sale in Zen Estate, Kharadi Pune",1065 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyZen Estate,Bathroom3,₹1.30 Cr 
908,"3 BHK Apartment for Sale in Gera World of Joy, EON Free Zone, Kharadi Pune",940 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom3,₹1.42 Cr 
909,"3 BHK Apartment for Sale in Riverdale Residences, Kharadi Pune",1065 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyRiverdale Residences,Bathroom3,₹1.50 Cr 
910,"3 BHK Apartment for Sale in Ganga Serio, Thite Nagar, Kharadi Pune",1100 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyGanga Serio,Bathroom3,₹1.99 Cr 
911,"3 BHK Apartment for Sale in Gera Song of Joy, EON Free Zone, Kharadi Pune",1300 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera Song of Joy,Bathroom3,₹1.95 Cr 
912,"2 BHK Apartment for Sale in Majestique Towers, Ubale Nagar Pune",810 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMajestique Towers,Bathroom2,₹94 Lac 
913,"4 BHK Apartment for Sale in Eon Waterfront, Kharadi Pune",4088 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyEon Waterfront,Bathroom4,₹4.15 Cr 
914,"4 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",4355 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMarvel Zephyr,Bathroom4,₹3.90 Cr 
915,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1194 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.70 Cr 
916,"4 BHK Apartment for Sale in Eon Waterfront, Kharadi Pune",3000 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyEon Waterfront,Bathroom4,₹4 Cr 
917,"2 BHK Apartment for Sale in Ganga Arcadia, Kharadi Pune",862 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGanga Arcadia,Bathroom2,₹1.25 Cr 
918,"2 BHK Apartment for Sale in Kharadi Gaon, Kharadi Pune",920 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,,Bathroom2,₹90 Lac 
919,"3 BHK Apartment for Sale in Nyati Elysia, Thite Nagar, Kharadi Pune",1185 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyNyati Elysia,Bathroom3,₹1.70 Cr 
920,"2 BHK Apartment for Sale in Riverdale Heights, Thite Nagar, Kharadi Pune",750 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyRiverdale Heights,Bathroom2,₹1.05 Cr 
921,"3 BHK Apartment for Sale in Eastern Meadows, Kharadi Pune",1230 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyEastern Meadows,Bathroom3,₹1.25 Cr 
922,"4 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",3300 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMarvel Zephyr,Bathroom5,₹3.85 Cr 
923,"4 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",2212 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPanchshil Towers,Bathroom5,₹4.75 Cr 
924,"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",2200 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPanchshil Towers,Bathroom5,₹3.40 Cr 
925,"2 BHK Apartment for Sale in Nyati Elysia, Kharadi Pune",750 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyNyati Elysia,Bathroom2,₹93 Lac 
926,"3 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",1100 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyMajestique Marbella,Bathroom3,₹1 Cr 
927,"4 BHK Apartment for Sale in EON Free Zone, Kharadi Pune",1800 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,,Bathroom4,₹2.10 Cr 
